Date,zip,count
3/6/2020,37217,1
3/10/2020,37214,1
3/11/2020,37013,1
3/11/2020,37204,2
3/11/2020,37205,1
3/11/2020,37210,1
3/11/2020,37212,2
3/11/2020,37214,1
3/11/2020,37215,3
3/12/2020,,1
3/12/2020,37013,1
3/12/2020,37204,1
3/12/2020,37211,1
3/12/2020,37212,1
3/12/2020,37215,1
3/12/2020,37217,1
3/12/2020,37220,1
3/13/2020,,3
3/13/2020,37013,1
3/13/2020,37138,1
3/13/2020,37203,1
3/13/2020,37204,1
3/13/2020,37205,2
3/13/2020,37206,1
3/13/2020,37211,1
3/13/2020,37212,1
3/13/2020,37214,1
3/13/2020,37215,2
3/13/2020,37219,1
3/13/2020,37220,1
3/13/2020,37221,1
3/14/2020,,5
3/14/2020,37013,1
3/14/2020,37027,1
3/14/2020,37203,2
3/14/2020,37210,1
3/14/2020,37211,1
3/14/2020,37212,1
3/14/2020,37215,4
3/14/2020,37220,1
3/15/2020,,6
3/15/2020,37013,1
3/15/2020,37138,1
3/15/2020,37203,3
3/15/2020,37204,1
3/15/2020,37205,3
3/15/2020,37208,1
3/15/2020,37211,1
3/15/2020,37212,2
3/15/2020,37215,3
3/16/2020,,10
3/16/2020,37013,8
3/16/2020,37027,1
3/16/2020,37115,2
3/16/2020,37204,1
3/16/2020,37205,4
3/16/2020,37206,4
3/16/2020,37208,1
3/16/2020,37209,5
3/16/2020,37211,7
3/16/2020,37212,3
3/16/2020,37214,1
3/16/2020,37216,1
3/16/2020,37220,1
3/16/2020,37221,1
3/17/2020,,10
3/17/2020,37013,6
3/17/2020,37076,1
3/17/2020,37203,1
3/17/2020,37204,3
3/17/2020,37205,2
3/17/2020,37206,6
3/17/2020,37208,2
3/17/2020,37209,2
3/17/2020,37210,1
3/17/2020,37211,2
3/17/2020,37212,6
3/17/2020,37214,1
3/17/2020,37215,1
3/17/2020,37216,1
3/17/2020,37217,1
3/17/2020,37219,1
3/17/2020,37220,1
3/17/2020,37221,1
3/18/2020,,6
3/18/2020,37013,6
3/18/2020,37076,1
3/18/2020,37203,10
3/18/2020,37204,5
3/18/2020,37205,6
3/18/2020,37206,1
3/18/2020,37207,1
3/18/2020,37208,3
3/18/2020,37209,9
3/18/2020,37211,2
3/18/2020,37212,4
3/18/2020,37214,2
3/18/2020,37215,5
3/18/2020,37217,2
3/18/2020,37219,1
3/18/2020,37220,2
3/18/2020,37221,6
3/19/2020,,11
3/19/2020,37013,8
3/19/2020,37027,2
3/19/2020,37072,2
3/19/2020,37076,1
3/19/2020,37138,1
3/19/2020,37203,3
3/19/2020,37204,4
3/19/2020,37205,7
3/19/2020,37206,2
3/19/2020,37207,1
3/19/2020,37208,3
3/19/2020,37209,3
3/19/2020,37211,5
3/19/2020,37212,3
3/19/2020,37215,5
3/19/2020,37217,6
3/19/2020,37219,2
3/19/2020,37221,5
3/20/2020,,20
3/20/2020,37013,18
3/20/2020,37027,1
3/20/2020,37076,2
3/20/2020,37115,1
3/20/2020,37138,1
3/20/2020,37189,1
3/20/2020,37203,5
3/20/2020,37204,1
3/20/2020,37205,3
3/20/2020,37206,3
3/20/2020,37207,2
3/20/2020,37208,4
3/20/2020,37209,7
3/20/2020,37211,6
3/20/2020,37212,2
3/20/2020,37214,3
3/20/2020,37215,5
3/20/2020,37216,2
3/20/2020,37217,6
3/20/2020,37218,1
3/20/2020,37220,2
3/20/2020,37221,4
3/21/2020,,5
3/21/2020,37013,5
3/21/2020,37201,1
3/21/2020,37203,2
3/21/2020,37205,3
3/21/2020,37206,1
3/21/2020,37207,3
3/21/2020,37208,2
3/21/2020,37209,2
3/21/2020,37211,5
3/21/2020,37212,1
3/21/2020,37214,1
3/21/2020,37215,1
3/21/2020,37218,1
3/21/2020,37221,1
3/22/2020,,8
3/22/2020,37013,2
3/22/2020,37072,1
3/22/2020,37076,2
3/22/2020,37115,2
3/22/2020,37203,3
3/22/2020,37205,4
3/22/2020,37206,2
3/22/2020,37207,3
3/22/2020,37208,1
3/22/2020,37209,1
3/22/2020,37211,2
3/22/2020,37212,2
3/22/2020,37215,3
3/22/2020,37216,2
3/22/2020,37217,2
3/22/2020,37221,2
3/23/2020,,14
3/23/2020,37013,13
3/23/2020,37027,3
3/23/2020,37072,1
3/23/2020,37076,2
3/23/2020,37115,3
3/23/2020,37138,1
3/23/2020,37203,3
3/23/2020,37204,1
3/23/2020,37205,1
3/23/2020,37206,4
3/23/2020,37207,2
3/23/2020,37208,1
3/23/2020,37209,5
3/23/2020,37211,4
3/23/2020,37212,2
3/23/2020,37214,3
3/23/2020,37215,2
3/23/2020,37217,3
3/23/2020,37218,4
3/23/2020,37221,5
3/24/2020,,6
3/24/2020,37013,7
3/24/2020,37076,2
3/24/2020,37138,2
3/24/2020,37203,4
3/24/2020,37204,2
3/24/2020,37205,3
3/24/2020,37206,4
3/24/2020,37207,6
3/24/2020,37208,2
3/24/2020,37209,2
3/24/2020,37210,3
3/24/2020,37211,7
3/24/2020,37212,1
3/24/2020,37214,2
3/24/2020,37215,3
3/24/2020,37216,1
3/24/2020,37217,6
3/24/2020,37218,1
3/24/2020,37221,2
3/25/2020,,1
3/25/2020,37013,7
3/25/2020,37072,4
3/25/2020,37076,2
3/25/2020,37115,3
3/25/2020,37138,1
3/25/2020,37204,1
3/25/2020,37205,4
3/25/2020,37206,2
3/25/2020,37207,4
3/25/2020,37208,2
3/25/2020,37209,6
3/25/2020,37210,2
3/25/2020,37211,6
3/25/2020,37212,1
3/25/2020,37214,1
3/25/2020,37215,3
3/25/2020,37217,1
3/25/2020,37221,3
3/25/2020,37228,1
3/26/2020,,2
3/26/2020,37013,6
3/26/2020,37076,3
3/26/2020,37115,2
3/26/2020,37138,1
3/26/2020,37203,6
3/26/2020,37204,2
3/26/2020,37205,3
3/26/2020,37206,1
3/26/2020,37207,2
3/26/2020,37208,2
3/26/2020,37209,4
3/26/2020,37210,2
3/26/2020,37211,6
3/26/2020,37214,1
3/26/2020,37215,3
3/26/2020,37216,1
3/26/2020,37217,2
3/26/2020,37218,2
3/26/2020,37220,1
3/26/2020,37221,1
3/27/2020,,4
3/27/2020,37013,10
3/27/2020,37072,1
3/27/2020,37115,2
3/27/2020,37189,1
3/27/2020,37203,4
3/27/2020,37204,2
3/27/2020,37206,1
3/27/2020,37207,6
3/27/2020,37209,4
3/27/2020,37210,1
3/27/2020,37211,11
3/27/2020,37212,2
3/27/2020,37214,1
3/27/2020,37215,1
3/27/2020,37216,2
3/27/2020,37217,4
3/27/2020,37218,3
3/27/2020,37221,2
3/28/2020,,3
3/28/2020,37013,1
3/28/2020,37072,2
3/28/2020,37076,2
3/28/2020,37080,1
3/28/2020,37115,6
3/28/2020,37203,1
3/28/2020,37204,3
3/28/2020,37205,1
3/28/2020,37207,2
3/28/2020,37209,1
3/28/2020,37211,1
3/28/2020,37215,4
3/28/2020,37217,2
3/28/2020,37218,1
3/29/2020,,3
3/29/2020,37013,6
3/29/2020,37076,1
3/29/2020,37115,2
3/29/2020,37204,1
3/29/2020,37208,1
3/29/2020,37211,1
3/29/2020,37212,1
3/29/2020,37214,1
3/29/2020,37215,3
3/29/2020,37217,1
3/29/2020,37218,1
3/29/2020,37220,1
3/30/2020,37013,9
3/30/2020,37076,1
3/30/2020,37115,3
3/30/2020,37203,3
3/30/2020,37204,2
3/30/2020,37206,1
3/30/2020,37209,5
3/30/2020,37211,3
3/30/2020,37212,9
3/30/2020,37214,5
3/30/2020,37215,2
3/30/2020,37216,2
3/30/2020,37217,7
3/30/2020,37218,1
3/30/2020,37221,5
3/30/2020,37228,1
3/31/2020,,2
3/31/2020,37013,11
3/31/2020,37076,3
3/31/2020,37115,2
3/31/2020,37138,1
3/31/2020,37205,1
3/31/2020,37206,1
3/31/2020,37208,1
3/31/2020,37209,4
3/31/2020,37210,2
3/31/2020,37211,3
3/31/2020,37213,1
3/31/2020,37214,1
3/31/2020,37215,2
3/31/2020,37217,1
3/31/2020,37221,1
4/1/2020,,2
4/1/2020,37013,11
4/1/2020,37072,1
4/1/2020,37076,1
4/1/2020,37115,5
4/1/2020,37138,3
4/1/2020,37207,2
4/1/2020,37208,1
4/1/2020,37209,4
4/1/2020,37210,2
4/1/2020,37211,8
4/1/2020,37212,2
4/1/2020,37213,1
4/1/2020,37214,2
4/1/2020,37216,1
4/1/2020,37217,2
4/1/2020,37218,2
4/1/2020,37221,2
4/2/2020,,2
4/2/2020,37013,7
4/2/2020,37076,5
4/2/2020,37115,1
4/2/2020,37138,2
4/2/2020,37201,2
4/2/2020,37205,3
4/2/2020,37207,3
4/2/2020,37209,2
4/2/2020,37211,7
4/2/2020,37214,2
4/2/2020,37218,4
4/3/2020,,1
4/3/2020,37013,10
4/3/2020,37072,1
4/3/2020,37076,2
4/3/2020,37115,4
4/3/2020,37138,1
4/3/2020,37189,1
4/3/2020,37203,1
4/3/2020,37204,1
4/3/2020,37205,2
4/3/2020,37206,1
4/3/2020,37207,5
4/3/2020,37208,2
4/3/2020,37209,6
4/3/2020,37211,7
4/3/2020,37212,2
4/3/2020,37214,2
4/3/2020,37215,1
4/3/2020,37216,1
4/3/2020,37217,2
4/3/2020,37218,2
4/3/2020,37221,1
4/4/2020,,2
4/4/2020,37013,1
4/4/2020,37076,2
4/4/2020,37115,1
4/4/2020,37138,1
4/4/2020,37201,1
4/4/2020,37203,1
4/4/2020,37205,1
4/4/2020,37208,1
4/4/2020,37209,1
4/4/2020,37211,7
4/4/2020,37214,1
4/4/2020,37217,4
4/4/2020,37218,1
4/5/2020,,1
4/5/2020,37013,3
4/5/2020,37206,1
4/5/2020,37208,1
4/5/2020,37211,4
4/5/2020,37214,1
4/5/2020,37217,2
4/6/2020,,2
4/6/2020,37013,16
4/6/2020,37076,3
4/6/2020,37115,1
4/6/2020,37138,1
4/6/2020,37189,2
4/6/2020,37206,3
4/6/2020,37207,3
4/6/2020,37208,1
4/6/2020,37209,1
4/6/2020,37211,11
4/6/2020,37212,2
4/6/2020,37214,4
4/6/2020,37215,1
4/6/2020,37216,1
4/6/2020,37217,6
4/6/2020,37218,4
4/6/2020,37221,1
4/7/2020,,3
4/7/2020,37013,14
4/7/2020,37072,1
4/7/2020,37076,2
4/7/2020,37207,2
4/7/2020,37208,2
4/7/2020,37209,1
4/7/2020,37210,2
4/7/2020,37211,8
4/7/2020,37217,2
4/7/2020,37218,1
4/7/2020,37221,1
4/8/2020,,1
4/8/2020,37013,16
4/8/2020,37027,1
4/8/2020,37072,1
4/8/2020,37115,1
4/8/2020,37138,1
4/8/2020,37203,1
4/8/2020,37205,1
4/8/2020,37207,8
4/8/2020,37209,2
4/8/2020,37211,8
4/8/2020,37212,4
4/8/2020,37213,1
4/8/2020,37216,2
4/8/2020,37217,7
4/8/2020,37218,1
4/8/2020,37221,1
4/9/2020,,3
4/9/2020,37013,7
4/9/2020,37072,2
4/9/2020,37076,1
4/9/2020,37115,1
4/9/2020,37138,4
4/9/2020,37205,1
4/9/2020,37207,2
4/9/2020,37209,1
4/9/2020,37214,1
4/9/2020,37217,5
4/9/2020,37218,2
4/9/2020,37221,1
4/10/2020,,4
4/10/2020,37013,15
4/10/2020,37076,1
4/10/2020,37115,5
4/10/2020,37205,1
4/10/2020,37206,1
4/10/2020,37207,1
4/10/2020,37208,1
4/10/2020,37209,2
4/10/2020,37211,9
4/10/2020,37212,12
4/10/2020,37214,3
4/10/2020,37217,4
4/10/2020,37218,2
4/10/2020,37221,1
4/11/2020,,1
4/11/2020,37013,21
4/11/2020,37072,1
4/11/2020,37076,2
4/11/2020,37115,2
4/11/2020,37189,1
4/11/2020,37208,1
4/11/2020,37210,2
4/11/2020,37211,6
4/11/2020,37214,2
4/11/2020,37217,2
4/11/2020,37221,2
4/12/2020,37013,3
4/12/2020,37072,1
4/12/2020,37138,1
4/12/2020,37206,1
4/12/2020,37210,1
4/12/2020,37211,6
4/12/2020,37215,1
4/12/2020,37217,3
4/13/2020,,2
4/13/2020,37013,37
4/13/2020,37072,4
4/13/2020,37115,8
4/13/2020,37138,2
4/13/2020,37189,1
4/13/2020,37204,1
4/13/2020,37206,1
4/13/2020,37207,5
4/13/2020,37208,2
4/13/2020,37209,2
4/13/2020,37210,7
4/13/2020,37211,12
4/13/2020,37214,1
4/13/2020,37215,1
4/13/2020,37217,9
4/13/2020,37218,3
4/13/2020,37221,1
4/14/2020,,2
4/14/2020,37013,14
4/14/2020,37072,3
4/14/2020,37115,5
4/14/2020,37205,1
4/14/2020,37207,1
4/14/2020,37208,1
4/14/2020,37209,2
4/14/2020,37210,1
4/14/2020,37211,2
4/14/2020,37214,1
4/14/2020,37217,2
4/14/2020,37218,2
4/15/2020,,12
4/15/2020,37013,47
4/15/2020,37072,1
4/15/2020,37076,1
4/15/2020,37115,3
4/15/2020,37138,4
4/15/2020,37203,1
4/15/2020,37206,1
4/15/2020,37207,5
4/15/2020,37208,3
4/15/2020,37209,3
4/15/2020,37210,1
4/15/2020,37211,22
4/15/2020,37212,2
4/15/2020,37214,3
4/15/2020,37217,11
4/15/2020,37218,9
4/16/2020,,4
4/16/2020,37013,17
4/16/2020,37076,1
4/16/2020,37115,2
4/16/2020,37138,1
4/16/2020,37205,1
4/16/2020,37207,1
4/16/2020,37208,1
4/16/2020,37209,5
4/16/2020,37210,3
4/16/2020,37211,17
4/16/2020,37216,1
4/16/2020,37217,4
4/16/2020,37218,1
4/17/2020,,7
4/17/2020,37013,36
4/17/2020,37072,3
4/17/2020,37076,1
4/17/2020,37080,1
4/17/2020,37115,5
4/17/2020,37203,1
4/17/2020,37205,1
4/17/2020,37206,1
4/17/2020,37207,3
4/17/2020,37209,1
4/17/2020,37210,3
4/17/2020,37211,26
4/17/2020,37212,2
4/17/2020,37214,2
4/17/2020,37216,1
4/17/2020,37217,11
4/17/2020,37218,5
4/17/2020,37221,1
4/18/2020,,3
4/18/2020,37013,16
4/18/2020,37072,2
4/18/2020,37115,4
4/18/2020,37206,1
4/18/2020,37207,1
4/18/2020,37209,3
4/18/2020,37211,3
4/18/2020,37214,1
4/18/2020,37217,2
4/18/2020,37218,1
4/18/2020,37221,1
4/19/2020,,4
4/19/2020,37013,8
4/19/2020,37072,3
4/19/2020,37115,4
4/19/2020,37204,1
4/19/2020,37205,1
4/19/2020,37207,1
4/19/2020,37208,1
4/19/2020,37210,4
4/19/2020,37211,7
4/19/2020,37212,1
4/19/2020,37214,1
4/19/2020,37215,1
4/19/2020,37217,1
4/19/2020,37221,1
4/20/2020,,7
4/20/2020,37013,56
4/20/2020,37076,1
4/20/2020,37080,1
4/20/2020,37115,14
4/20/2020,37203,1
4/20/2020,37204,1
4/20/2020,37206,1
4/20/2020,37207,17
4/20/2020,37208,1
4/20/2020,37209,2
4/20/2020,37210,5
4/20/2020,37211,25
4/20/2020,37212,1
4/20/2020,37214,1
4/20/2020,37216,1
4/20/2020,37217,19
4/21/2020,,14
4/21/2020,37013,13
4/21/2020,37072,2
4/21/2020,37076,2
4/21/2020,37115,4
4/21/2020,37138,4
4/21/2020,37203,1
4/21/2020,37205,1
4/21/2020,37206,1
4/21/2020,37207,1
4/21/2020,37209,1
4/21/2020,37210,3
4/21/2020,37211,9
4/21/2020,37212,1
4/21/2020,37214,1
4/21/2020,37216,1
4/21/2020,37217,6
4/21/2020,37218,1
4/21/2020,37220,1
4/21/2020,37221,1
4/22/2020,,8
4/22/2020,37013,37
4/22/2020,37072,5
4/22/2020,37076,3
4/22/2020,37115,26
4/22/2020,37138,3
4/22/2020,37203,2
4/22/2020,37204,2
4/22/2020,37205,1
4/22/2020,37206,6
4/22/2020,37207,6
4/22/2020,37209,3
4/22/2020,37210,6
4/22/2020,37211,22
4/22/2020,37214,2
4/22/2020,37216,1
4/22/2020,37217,16
4/22/2020,37221,3
4/22/2020,37228,1
4/23/2020,,5
4/23/2020,37013,20
4/23/2020,37072,3
4/23/2020,37115,9
4/23/2020,37138,1
4/23/2020,37201,1
4/23/2020,37206,1
4/23/2020,37207,9
4/23/2020,37208,1
4/23/2020,37209,3
4/23/2020,37210,1
4/23/2020,37211,12
4/23/2020,37214,2
4/23/2020,37217,6
4/23/2020,37218,2
4/23/2020,37219,1
4/23/2020,37221,2
4/24/2020,,5
4/24/2020,37013,32
4/24/2020,37072,1
4/24/2020,37115,7
4/24/2020,37138,1
4/24/2020,37201,1
4/24/2020,37203,1
4/24/2020,37205,2
4/24/2020,37206,2
4/24/2020,37207,10
4/24/2020,37210,4
4/24/2020,37211,17
4/24/2020,37214,1
4/24/2020,37217,10
4/24/2020,37218,1
4/24/2020,37221,3
4/25/2020,,3
4/25/2020,37013,13
4/25/2020,37072,1
4/25/2020,37076,4
4/25/2020,37115,3
4/25/2020,37138,1
4/25/2020,37189,1
4/25/2020,37201,2
4/25/2020,37203,1
4/25/2020,37206,2
4/25/2020,37207,4
4/25/2020,37208,1
4/25/2020,37209,3
4/25/2020,37210,2
4/25/2020,37211,18
4/25/2020,37215,1
4/25/2020,37216,1
4/25/2020,37217,3
4/25/2020,37218,1
4/25/2020,37228,1
4/26/2020,,6
4/26/2020,37013,10
4/26/2020,37072,1
4/26/2020,37204,1
4/26/2020,37206,1
4/26/2020,37208,1
4/26/2020,37209,1
4/26/2020,37211,4
4/26/2020,37214,2
4/26/2020,37217,2
4/26/2020,37221,1
4/27/2020,,10
4/27/2020,37013,46
4/27/2020,37027,1
4/27/2020,37072,4
4/27/2020,37076,7
4/27/2020,37115,12
4/27/2020,37138,2
4/27/2020,37189,2
4/27/2020,37203,4
4/27/2020,37205,2
4/27/2020,37206,2
4/27/2020,37207,9
4/27/2020,37208,2
4/27/2020,37209,2
4/27/2020,37210,2
4/27/2020,37211,27
4/27/2020,37214,3
4/27/2020,37217,11
4/27/2020,37218,2
4/27/2020,37221,1
4/27/2020,37228,1
4/28/2020,,3
4/28/2020,37013,11
4/28/2020,37076,2
4/28/2020,37080,1
4/28/2020,37115,3
4/28/2020,37138,2
4/28/2020,37203,3
4/28/2020,37204,2
4/28/2020,37205,1
4/28/2020,37206,4
4/28/2020,37207,1
4/28/2020,37208,2
4/28/2020,37209,2
4/28/2020,37211,12
4/28/2020,37217,4
4/28/2020,37220,1
4/28/2020,37221,4
4/29/2020,,15
4/29/2020,37013,25
4/29/2020,37076,3
4/29/2020,37115,9
4/29/2020,37138,2
4/29/2020,37189,2
4/29/2020,37203,12
4/29/2020,37204,1
4/29/2020,37205,1
4/29/2020,37206,3
4/29/2020,37207,17
4/29/2020,37208,3
4/29/2020,37209,7
4/29/2020,37210,4
4/29/2020,37211,17
4/29/2020,37212,5
4/29/2020,37214,7
4/29/2020,37216,1
4/29/2020,37217,16
4/29/2020,37218,2
4/29/2020,37221,2
4/30/2020,,16
4/30/2020,37013,10
4/30/2020,37076,3
4/30/2020,37201,3
4/30/2020,37203,23
4/30/2020,37205,1
4/30/2020,37206,1
4/30/2020,37207,7
4/30/2020,37209,3
4/30/2020,37210,2
4/30/2020,37211,7
4/30/2020,37212,43
4/30/2020,37214,1
4/30/2020,37215,1
4/30/2020,37217,6
4/30/2020,37218,2
5/1/2020,,9
5/1/2020,37013,41
5/1/2020,37027,1
5/1/2020,37076,4
5/1/2020,37115,11
5/1/2020,37138,1
5/1/2020,37201,1
5/1/2020,37203,20
5/1/2020,37204,1
5/1/2020,37206,4
5/1/2020,37207,7
5/1/2020,37208,3
5/1/2020,37209,7
5/1/2020,37210,3
5/1/2020,37211,25
5/1/2020,37212,1
5/1/2020,37214,1
5/1/2020,37216,2
5/1/2020,37217,11
5/1/2020,37218,13
5/1/2020,37221,3
5/1/2020,37228,3
5/2/2020,,3
5/2/2020,37013,12
5/2/2020,37203,1
5/2/2020,37204,1
5/2/2020,37205,1
5/2/2020,37207,2
5/2/2020,37209,1
5/2/2020,37210,1
5/2/2020,37211,9
5/2/2020,37214,3
5/2/2020,37217,1
5/3/2020,,1
5/3/2020,37013,10
5/3/2020,37072,2
5/3/2020,37076,2
5/3/2020,37115,4
5/3/2020,37210,2
5/3/2020,37211,2
5/3/2020,37214,1
5/3/2020,37217,2
5/4/2020,,12
5/4/2020,37013,23
5/4/2020,37072,1
5/4/2020,37076,1
5/4/2020,37080,1
5/4/2020,37115,6
5/4/2020,37138,1
5/4/2020,37189,1
5/4/2020,37201,1
5/4/2020,37203,4
5/4/2020,37205,2
5/4/2020,37207,2
5/4/2020,37208,2
5/4/2020,37209,2
5/4/2020,37210,1
5/4/2020,37211,22
5/4/2020,37212,1
5/4/2020,37214,4
5/4/2020,37216,1
5/4/2020,37217,23
5/4/2020,37218,5
5/4/2020,37221,2
5/5/2020,,21
5/5/2020,37013,18
5/5/2020,37027,2
5/5/2020,37076,4
5/5/2020,37080,1
5/5/2020,37115,15
5/5/2020,37138,1
5/5/2020,37203,4
5/5/2020,37206,1
5/5/2020,37207,4
5/5/2020,37208,1
5/5/2020,37209,6
5/5/2020,37210,4
5/5/2020,37211,25
5/5/2020,37213,1
5/5/2020,37214,7
5/5/2020,37216,2
5/5/2020,37217,4
5/5/2020,37218,1
5/6/2020,,3
5/6/2020,37013,23
5/6/2020,37076,2
5/6/2020,37115,15
5/6/2020,37138,1
5/6/2020,37189,1
5/6/2020,37203,3
5/6/2020,37207,4
5/6/2020,37208,1
5/6/2020,37209,6
5/6/2020,37210,3
5/6/2020,37211,13
5/6/2020,37212,2
5/6/2020,37214,3
5/6/2020,37216,4
5/6/2020,37217,12
5/6/2020,37220,1
5/7/2020,,3
5/7/2020,37013,14
5/7/2020,37027,2
5/7/2020,37072,3
5/7/2020,37076,2
5/7/2020,37115,8
5/7/2020,37138,1
5/7/2020,37189,1
5/7/2020,37203,1
5/7/2020,37207,5
5/7/2020,37208,1
5/7/2020,37209,3
5/7/2020,37210,5
5/7/2020,37211,12
5/7/2020,37214,4
5/7/2020,37217,7
5/8/2020,,5
5/8/2020,37013,25
5/8/2020,37115,6
5/8/2020,37138,2
5/8/2020,37204,1
5/8/2020,37205,3
5/8/2020,37207,1
5/8/2020,37209,4
5/8/2020,37210,2
5/8/2020,37211,20
5/8/2020,37212,3
5/8/2020,37214,1
5/8/2020,37216,5
5/8/2020,37217,6
5/8/2020,37218,3
5/9/2020,,1
5/9/2020,37013,4
5/9/2020,37076,2
5/9/2020,37115,1
5/9/2020,37205,1
5/9/2020,37207,1
5/9/2020,37209,1
5/9/2020,37211,5
5/9/2020,37217,3
5/9/2020,37218,1
5/10/2020,37013,4
5/10/2020,37076,1
5/10/2020,37189,1
5/10/2020,37203,1
5/10/2020,37207,1
5/10/2020,37211,4
5/10/2020,37214,1
5/10/2020,37216,1
5/10/2020,37217,5
5/10/2020,37221,1
5/10/2020,37238,1
5/11/2020,,10
5/11/2020,37013,28
5/11/2020,37072,1
5/11/2020,37076,7
5/11/2020,37115,6
5/11/2020,37138,1
5/11/2020,37204,1
5/11/2020,37206,1
5/11/2020,37207,13
5/11/2020,37208,2
5/11/2020,37209,3
5/11/2020,37210,7
5/11/2020,37211,29
5/11/2020,37214,2
5/11/2020,37215,1
5/11/2020,37216,3
5/11/2020,37217,11
5/11/2020,37218,1
5/12/2020,,4
5/12/2020,37013,19
5/12/2020,37027,1
5/12/2020,37072,1
5/12/2020,37076,3
5/12/2020,37080,1
5/12/2020,37115,12
5/12/2020,37189,4
5/12/2020,37203,2
5/12/2020,37205,1
5/12/2020,37207,2
5/12/2020,37208,2
5/12/2020,37209,1
5/12/2020,37210,1
5/12/2020,37211,18
5/12/2020,37214,3
5/12/2020,37216,1
5/12/2020,37217,14
5/12/2020,37221,2
5/12/2020,37228,1
5/13/2020,,9
5/13/2020,37013,41
5/13/2020,37027,1
5/13/2020,37072,3
5/13/2020,37076,5
5/13/2020,37115,9
5/13/2020,37138,1
5/13/2020,37203,3
5/13/2020,37205,1
5/13/2020,37207,11
5/13/2020,37209,1
5/13/2020,37210,4
5/13/2020,37211,29
5/13/2020,37214,7
5/13/2020,37217,8
5/13/2020,37218,1
5/13/2020,37221,1
5/14/2020,,11
5/14/2020,37013,27
5/14/2020,37072,1
5/14/2020,37076,1
5/14/2020,37115,5
5/14/2020,37189,1
5/14/2020,37205,1
5/14/2020,37206,3
5/14/2020,37207,12
5/14/2020,37208,4
5/14/2020,37209,2
5/14/2020,37210,1
5/14/2020,37211,22
5/14/2020,37214,2
5/14/2020,37216,1
5/14/2020,37217,10
5/14/2020,37218,3
5/14/2020,37219,1
5/15/2020,,5
5/15/2020,37013,32
5/15/2020,37072,1
5/15/2020,37076,4
5/15/2020,37115,15
5/15/2020,37138,1
5/15/2020,37203,6
5/15/2020,37207,6
5/15/2020,37209,6
5/15/2020,37210,3
5/15/2020,37211,24
5/15/2020,37214,1
5/15/2020,37215,1
5/15/2020,37216,2
5/15/2020,37217,8
5/15/2020,37218,1
5/15/2020,37221,3
5/16/2020,,2
5/16/2020,37013,3
5/16/2020,37076,2
5/16/2020,37115,2
5/16/2020,37206,1
5/16/2020,37207,4
5/16/2020,37209,2
5/16/2020,37210,1
5/16/2020,37211,11
5/16/2020,37218,2
5/16/2020,37221,1
5/17/2020,,2
5/17/2020,37013,5
5/17/2020,37115,2
5/17/2020,37138,1
5/17/2020,37203,2
5/17/2020,37209,1
5/17/2020,37210,1
5/17/2020,37211,1
5/17/2020,37212,1
5/17/2020,37215,1
5/17/2020,37217,5
5/17/2020,37218,1
5/18/2020,,2
5/18/2020,37013,43
5/18/2020,37027,1
5/18/2020,37115,4
5/18/2020,37189,3
5/18/2020,37203,4
5/18/2020,37205,1
5/18/2020,37206,1
5/18/2020,37207,8
5/18/2020,37208,2
5/18/2020,37209,12
5/18/2020,37210,3
5/18/2020,37211,48
5/18/2020,37212,1
5/18/2020,37214,3
5/18/2020,37215,1
5/18/2020,37216,1
5/18/2020,37217,13
5/18/2020,37218,1
5/19/2020,,6
5/19/2020,37013,22
5/19/2020,37072,2
5/19/2020,37076,4
5/19/2020,37115,11
5/19/2020,37138,1
5/19/2020,37203,1
5/19/2020,37206,2
5/19/2020,37207,6
5/19/2020,37209,3
5/19/2020,37210,2
5/19/2020,37211,17
5/19/2020,37214,1
